Country,Quality of Life Index,Infant Mortality Rate,Continent,Cost of Bread,Cost of Apartment,Minimum Wage,Population,,,,,
Pakistan,8.084915164,57.2,Asia,0.86,586.1684108,0.69,235824862,,,,104.5,8.084915164
Panama,11.17858618,13.1,South America,3.47,2200.292204,1.53,4408581,,,,120.7,11.17858618
Peru,5.430330513,11.1,South America,3.12,1722.215904,1.28,34049588,,,,84.6,5.430330513
Philippines,6.147220325,22.5,Asia,1.83,2297.728314,1.12,115559009,,,,90.8,6.147220325
Poland,19.80629864,3.8,Europe,1.82,3769.53312,2.93,37561599,,,,149.3,19.80629864
Portugal,28.50273364,3.1,Europe,2.17,3746.247058,3.78,10379007,,,,167.5,28.50273364
Qatar,38.78369786,5.8,Asia,2.3,4818.093377,3.08,2695122,,,,182.9,38.78369786
Romania,15.61137788,6.1,Europe,1.74,2150.145164,2.25,18956666,,,,137.4,15.61137788
Russia,9.244233946,6.1,Europe,0.74,1872.814161,0.53,143555736,,,,111.2,9.244233946
Saudi Arabia,30.26524426,6,Asia,1.52,1686.663165,3.85,36408820,,,,170.5,30.26524426
Serbia,11.06735739,4.8,Europe,1.15,3161.610755,1.57,6760087,,,,120.2,11.06735739
Singapore,25.68738461,2.3,Asia,3.08,21149.61703,10,5637022,,,,162.3,25.68738461
Slovakia,21.93316774,4.6,Europe,2.32,4048.926575,3.11,5431752,,,,154.4,21.93316774
Slovenia,34.95284964,1.7,Europe,2.75,4680.026968,5.25,2108732,,,,177.7,34.95284964
South Africa,18.95371586,28.5,Africa,1.47,1021.856418,3.32,59893885,,,,147.1,18.95371586
South Korea,19.88568249,2.7,Asia,4.55,11755.1889,6.49,51628117,,,,149.5,19.88568249
Spain,37.18851585,2.5,Europe,2.08,3915.662732,5.6,47615034,,,,180.8,37.18851585
Sri Lanka,4.499651728,6.4,Asia,0.9,1987.44719,0.35,22181000,,,,75.2,4.499651728
Sweden,41.84615847,2.2,Europe,4,5229.306958,10,10486941,,,,186.7,41.84615847
Switzerland,59.14546985,3.7,Europe,5.58,16716.31821,23.43,8769741,,,,204,59.14546985
Taiwan,23.80748436,10,Asia,2.79,8398.489858,4.02,23593794,,,,158.5,23.80748436
Thailand,7.156349467,7.8,Asia,2.07,3934.715857,1.06,71697030,,,,98.4,7.156349467
Turkey,13.14445504,9.1,Asia,1.5,1905.813389,3.45,85341241,,,,128.8,13.14445504
Ukraine,9.152252282,7.5,Europe,0.88,1389.493342,0.84,38000000,,,,110.7,9.152252282
United Arab Emirates,34.81331749,6.5,Asia,2.04,5356.687902,0.38,9441129,,,,177.5,34.81331749
United Kingdom,30.32583532,3.6,Europe,2.36,6426.216418,10.13,66971411,,,,170.6,30.32583532
United States,40.52827992,5.6,North America,5.26,3383.461807,7.25,331893745,,,,185.1,40.52827992
Uruguay,17.35707145,6.4,South America,3.84,2604.463986,1.66,3422794,,,,142.7,17.35707145
Venezuela,4.854955811,21.4,South America,2.59,583.4577599,0.01,28301696,,,,79,4.854955811
Vietnam,6.986641719,16.5,Europe,1.48,2770.972585,0.73,98186856,,,,97.2,6.986641719
